R01, Oz1039, 2017-05-17 07:27:56.69
Oz1026, 11.570882, 5
Oz1024, 13.720161, 2
Oz1012, 13.762047, 1
Oz1027, 14.089926, 0
Oz1025, 17.396557, 0

S02, Oz1035, 2017-05-17 07:28:14.742
Oz1027, 110.43678, 5
Oz1030, 123.32454, 2
Oz1029, 177.87204, 1
Oz1028, 199.1193, 0

S03, Oz1037, 2017-05-17 07:28:59.571
Oz1029, 139.41562, 5
Oz1028, 161.3084, 2
Oz1027, 164.00227, 1
Oz1030, 188.71538, 0
Oz1031, 198.97179, 0

C04, Oz1037, 2017-05-17 07:29:39.620
Oz1020, 518.00433, 5
Oz1019, 534.0382, 2
Oz1017, 576.09875, 1
Oz1018, 679.6125, 0
Oz1021, 747.4852, 0
Oz1022, 748.22986, 0

